,X,Y,YAW
9531,893.889210931427,204.78774026450077,-0.6531154066797279
9532,894.0480498387335,204.66620754657808,-0.6484187802432606
9533,894.2074577858625,204.54542217332408,-0.646869304856602
9534,894.3670526955204,204.42488394365697,-0.6407132939506572
9535,894.5273866111157,204.3053304597684,-0.6433170963133629
9536,894.6874086899044,204.18535990379667,-0.6357067320421781
9537,894.8483391454839,204.0666106365696,-0.6233312471390494
9538,895.0107268200122,203.94986200419515,-0.609089907138869
9539,895.1747606281951,203.83543775076524,-0.5947590357027983
9540,895.3404173356739,203.72337591396382,-0.5772234105617765
9541,895.5080135478947,203.61423605117642,-0.5486392347845246
9542,895.6786605453223,203.5099307192467,-0.5281518844120958
9543,895.8514085214341,203.4091431369299,-0.5157666748104758
9544,896.0253914919338,203.3105027497849,-0.5100653631172948
9545,896.1999340113327,203.21285589155656,-0.5074919967954181
9546,896.3747272336622,203.11565851799267,-0.5100382204064042
9547,896.5492724033973,203.01801639735746,-0.519724144626061
9548,896.7228636461399,202.91868825208604,-0.5309349715308017
9549,896.895330452976,202.81742028805138,-0.5331746686852936
9550,897.0675700178634,202.7157663049154,-0.5329930825336044
9551,897.2398280388667,202.61414359977496,-0.5285655918866003
9552,897.4125343036203,202.51328455895637,-0.5291056804571918
9553,897.5851860703726,202.41233225617273,-0.5231527673484903
9554,897.7584357347257,202.31240951701128,-0.5233514642839363
9555,897.9316655413169,202.21245235564515,-0.5167047435691622
9556,898.1055559038144,202.11364880393535,-0.519166719929312
9557,898.2792024875462,202.0144174381365,-0.5278765540066734
9558,898.4519782069958,201.9136774224096,-0.5387233735284023
9559,898.6236510753691,201.81106930253358,-0.5444405694930073
9560,898.794734510539,201.707481377511,-0.5517708181722395
9561,898.9650540309046,201.60264216260353,-0.5664040236314443
9562,899.1338212372548,201.495321940554,-0.5865850922592167
9563,899.3003883876406,201.3846179008249,-0.6066586926623003
9564,899.4646999006653,201.2705927865407,-0.6383588465849416
9565,899.6253148539867,201.15141713143615,-0.6656045594368667
9566,899.7826235724714,201.02791017985567,-0.6994090653316489
9567,899.9356681213284,200.89915705925205,-0.7275176370298501
9568,900.0850336247693,200.76615350147316,-0.7454969010718926
9569,900.2319838101143,200.63048610293154,-0.7550521551155734
9570,900.3776309702909,200.49342077276916,-0.7594951482242317
9571,900.5226677146048,200.3557096882523,-0.7599768505860242
9572,900.6676381063397,200.21792875517286,-0.7742415774386049
9573,900.8106284081385,200.07809394694726,-0.7867637744875013
9574,900.9518565059956,199.9364795960654,-0.808385459106742
9575,901.0899898910022,199.79184499458077,-0.828239975743836
9576,901.2252245892497,199.6444965083655,-0.8489386929188307
9577,901.3573806119009,199.49438060089057,-0.8642752007664829
9578,901.487218929206,199.3422556149107,-0.8772422280274242
9579,901.61507377735,199.18845984836915,-0.8883614311563519
9580,901.7412106706704,199.03325197439534,-0.8935606556339009
9581,901.8665389021907,198.87739038713278,-0.8844526788408097
9582,901.9932814995228,198.72267673543556,-0.8795360147252984
9583,902.1207832369413,198.56858810199603,-0.868371514599196
9584,902.2499973149767,198.41593253531903,-0.8538944655936536
9585,902.381407777509,198.2651635387148,-0.8475149743045254
9586,902.5137773889613,198.11523593630628,-0.835459970199301
9587,902.6479447164346,197.96691490530026,-0.8231697711854364
9588,902.783924760214,197.82025397766859,-0.8268224491167955
9589,902.919368192925,197.67309733821446,-0.8208638518775184
9590,903.0556860631486,197.52675035923062,-0.8213061489330215
9591,903.1919391912028,197.38034310157082,-0.8180024765953345
9592,903.3286752564345,197.2343867777443,-0.8156493256446085
9593,903.465754400036,197.08875261832597,-0.8132397431519629
9594,903.6031840628722,196.94344918487468,-0.8058140472116284
9595,903.7416889059239,196.79917025900116,-0.7888388444274682
9596,903.8826228402512,196.65726315503866,-0.7764517610174799
9597,904.0253037324574,196.5171126537936,-0.7699618480831261
9598,904.1688911780539,196.37789108410308,-0.7597895222853224
9599,904.313887377513,196.24013731049814,-0.758788392760873
9600,904.459021413657,196.10252876587774,-0.7562437427016447
9601,904.6045051451254,195.96528998171664,-0.7601293197370035
9602,904.7494545278333,195.82748694672625,-0.7652313184996984
9603,904.8936989561371,195.6889461769026,-0.7795751840713255
9604,905.0359414037679,195.54835070723163,-0.7802266992271586
9605,905.1780922211369,195.40766259429623,-0.7812373640910795
9606,905.3201007773981,195.26683088640127,-0.7951099729620665
9607,905.4601420286205,195.12404276379965,-0.8024514629427351
9608,905.5991312377698,194.98023038693307,-0.8209622503452979
9609,905.735434707015,194.83386999518817,-0.8370167210471752
9610,905.8693709731152,194.6853402788917,-0.8415532698808768
9611,906.0026320509952,194.5362044846562,-0.8460101604228997
9612,906.1352271256266,194.38647624355417,-0.8604917776337724
9613,906.265640065479,194.2348435784749,-0.8691148859725512
9614,906.3947406280447,194.08209199993894,-0.88340944637682
9615,906.5216445586825,193.9275106543999,-0.894000633994597
9616,906.6469042023488,193.77159394051517,-0.8935720538412882
9617,906.7722306573182,193.61573092474558,-0.8899485774563597
9618,906.8981210542677,193.46032304863917,-0.8868846390652703
9619,907.0244870197187,193.30530162181165,-0.8837542842610849
9620,907.1513376373082,193.1506765241814,-0.8884401000269846
9621,907.2774623202101,192.99545872764094,-0.9027274375704539
9622,907.4013565569353,192.83845484836942,-0.9214106160069658
9623,907.522296010114,192.67916376680853,-0.9475583576308519
9624,907.6390294947871,192.5167652029107,-0.968559557426187
9625,907.7523269237445,192.35195108764245,-0.9789192452906207
9626,907.8639108807897,192.18597211147338,-0.9931186713086787
9627,907.9731268620434,192.0184254927704,-1.0096280289311546
9628,908.0795619983471,191.84909870292307,-1.018370391676742
9629,908.1845127699532,191.6788479010475,-1.0247150426161473
9630,908.288381254528,191.50793465430476,-1.02205938427934
9631,908.3927032594906,191.3372978491291,-1.0127569661813394
9632,908.4986080627459,191.16763885983744,-1.0166848638165604
9633,908.6038456476032,190.99756519716917,-1.0208068028905244
9634,908.7083813071579,190.82705919762233,-1.026301703390691
9635,908.811978479758,190.65598136203494,-1.0184894089032204
9636,908.9169089878426,190.48571807041546,-1.0140668108114266
9637,909.0225914733952,190.31592050786696,-1.0140594475993885
9638,909.1282752092005,190.14612372348563,-1.0196779864577832
9639,909.2330032720874,189.97573583411568,-1.0258123495524383
9640,909.3366841498756,189.80470871468407,-1.0275269070355342
9641,909.4400716395843,189.63350407989947,-1.0371386830780396
